date,lat,lon,doy_sin,doy_cos,era5_tp_mm,era5_t2m_k,era5_d2m_k,era5_u10_ms,era5_v10_ms,era5_wind_speed,era5_dew_depression,dem_elevation_m,dem_slope_deg,gpm_precipitation_mm,gpm_mw_precipitation,gpm_prob_liquid_pct,imd_rainfall_lag1,imd_rainfall_lag3,inv_hist_flooded_pct,inv_perm_water_pct,inv_mean_duration,inv_population_log,s1_sar_wetness_index,s1_sar_flood_prior,target_rainfall_mm,target_heavy_rain_class,target_inundation_pct
2017-01-01,29.0,94.25,0.017201575418260506,0.9998520419557735,0.02314647100865841,266.6097717285156,264.1894226074219,0.47927284240722656,-0.3067709505558014,0.5690438239485709,2.42034912109375,1951.332275390625,13.618340492248535,0.8024664521217346,0.3688730001449585,84.14509553206389,0.0,0.0,0.815779757,0.487835201,5.0,14.817033217880782,0.37244686073520067,30.00557369781074,0.0,0,1.8020019715808027
2017-01-01,25.75,77.0,0.017201575418260506,0.9998520419557735,0.0009338061208836734,290.1574401855469,285.8564147949219,-1.7853755950927734,-0.4626140594482422,1.8443366784706248,4.301025390625,536.8203125,6.282402992248535,9.242502212524414,9.343426704406738,99.90259394393499,0.0,0.0,0.647137511,0.628882095,6.0,13.259732894994809,0.40055447937683814,33.87921119069346,0.0,0,2.0047024583073525
2017-01-01,23.0,75.75,0.017201575418260506,0.9998520419557735,0.0,293.3925476074219,282.8542785644531,1.7395267486572266,0.5666421055793762,1.8294907994055096,10.53826904296875,187.85438537597656,2.251161575317383,4.261201858520508,4.586150646209717,99.93450393367321,0.0,0.0,0.76725114,0.771098824,6.0,13.888166047203793,0.38414495221452205,29.28443500581993,0.0,0,2.0300830562180883
2017-01-01,19.0,84.25,0.017201575418260506,0.9998520419557735,0.006198883056640625,294.04595947265625,290.1292724609375,-0.6117509007453918,0.1621824949979782,0.6328841333503057,3.91668701171875,472.4815673828125,5.920126438140869,2.109030246734619,2.0206925868988037,99.9714210089098,0.0,0.0,1.3148171,0.0,1.0,11.529566236118352,0.4050574228288466,33.760572819212875,0.0,0,1.6202296913153866
2017-01-01,24.0,91.75,0.017201575418260506,0.9998520419557735,0.00017881393432617188,292.8717956542969,289.0295715332031,0.34556517004966736,0.06481107324361801,0.35159033258388256,3.84222412109375,107.46399688720703,3.037259817123413,0.39642661809921265,0.2590586543083191,86.46036926033906,0.0,0.0,1.074565636,0.544194583,6.0,14.208671614056273,0.27777033978505783,30.90828450511842,0.0,0,1.4593658922602313
2017-01-01,26.75,85.0,0.017201575418260506,0.9998520419557735,0.008145968429744244,290.1349182128906,287.5116882324219,-1.1788488626480103,-0.6316814422607422,1.3374251700424657,2.62322998046875,599.838134765625,3.7104711532592773,3.5109634399414062,3.025001049041748,99.9507557864903,0.0,0.0,0.815779757,0.487835201,5.0,14.817033217880782,0.28266250526202563,31.70375730395357,0.0,0,1.4428645496881027
2017-01-01,26.25,75.25,0.017201575418260506,0.9998520419557735,0.0,289.1908264160156,285.4374694824219,-1.0389970541000366,-1.4293702840805054,1.767092042719037,3.75335693359375,95.15106201171875,2.7246012687683105,7.867478370666504,8.231804847717285,99.94238899385923,0.0,0.0,2.501932587,1.803625613,25.0,13.856265670247963,0.3371899295356632,32.17691285754236,0.0,0,2.503080110462653
2017-01-01,29.75,80.25,0.017201575418260506,0.9998520419557735,0.019868215546011925,283.2934265136719,277.3598327636719,-0.11712201684713364,-0.270922988653183,0.29515560745327707,5.93359375,1693.3192138671875,10.106358528137207,9.542045593261719,9.931334495544434,99.88526806802078,0.0,0.0,2.520489489,0.002801781,4.0,13.234498493548111,0.3169560803932496,38.012492737505994,0.0,0,1.2696174614129985
2017-01-01,36.0,72.5,0.017201575418260506,0.9998520419557735,0.0,253.0597686767578,248.9669189453125,-0.5235347747802734,0.420727401971817,0.6716399386383947,4.0928497314453125,121.14313507080078,4.301596641540527,7.807613849639893,8.403765678405762,99.92109361002068,0.0,0.0,2.869921368,0.262638721,27.0,14.491595502922427,0.3627316669493227,34.5463989362861,0.0,0,1.6190154492372906
2017-01-01,26.0,91.0,0.017201575418260506,0.9998520419557735,0.012874603271484375,291.5409851074219,288.1774597167969,-1.1591142416000366,0.04117012023925781,1.1598451637527067,3.363525390625,125.50495147705078,1.4525328874588013,0.5936962962150574,0.4311065673828125,82.72224846480867,0.0,0.0,12.64357177,3.878298705,16.0,14.73735941480442,0.26875174149367476,31.43999257580447,0.0,0,3.5571181371746996
